Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"12 Apr 2022 09:00","Kreisklasse B",1,4,"SC FK Babenhausen 1994  03"," : ","SC ""Turm"" Breuberg  03"
"07 Jun 2022 09:00","Kreisklasse B",1,9,"Schachforum Darmstadt 1994  04"," : ","SC FK Babenhausen 1994  03"
"26 Sep 2022 09:00",Bezirksklasse,1,1,"SC FK Babenhausen 1994  02"," : ","Schachforum Darmstadt 1994"
"26 Sep 2022 09:00","Kreisklasse B",1,1,"SC FK Babenhausen 1994  03"," : ","SG Wartturm Schaafheim  02"
"09 Okt 2022 09:00",Bezirksklasse,1,2,"SG Wartturm Schaafheim  01"," : ","SC FK Babenhausen 1994  02"
"09 Okt 2022 09:00","Kreisklasse B",1,2,"SC Groß-Umstadt  02"," : ","SC FK Babenhausen 1994  03"
"06 Nov 2022 09:00",Bezirksklasse,1,3,"SC FK Babenhausen 1994  02"," : ","SK Langen  03"
"06 Nov 2022 09:00","Kreisklasse B",1,3,"SC FK Babenhausen 1994  03"," : ",spielfrei
"04 Dez 2022 09:00",Bezirksklasse,1,4,"SC Schachmatt Weiterstadt  01"," : ","SC FK Babenhausen 1994  02"
"15 Jan 2023 09:00","Kreisklasse B",1,5,"SC Springer Bad König  02"," : ","SC FK Babenhausen 1994  03"
"29 Jan 2023 09:00",Bezirksklasse,1,5,"SC FK Babenhausen 1994  02"," : ","SC Ober-Ramstadt  01"
"29 Jan 2023 09:00","Kreisklasse B",1,6,"SC FK Babenhausen 1994  03"," : ","SK 1980 Gernsheim  05"
"12 Feb 2023 09:00",Bezirksklasse,1,6,"SC Springer Bad König  01"," : ","SC FK Babenhausen 1994  02"
"12 Feb 2023 09:00","Kreisklasse B",1,7,"SC Ladja Roßdorf  02"," : ","SC FK Babenhausen 1994  03"
"19 Mär 2023 09:00",Bezirksklasse,1,7,"SC FK Babenhausen 1994  02"," : ","SAbt TEC Darmstadt  01"
"19 Mär 2023 09:00","Kreisklasse B",1,8,"SC FK Babenhausen 1994  03"," : ","SV Griesheim 1976  02"
