Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"22 Sep 2019 09:00","Kreisklasse B",1,1,"SC ""Turm"" Breuberg II"," : ",spielfrei
"22 Sep 2019 09:00","Kreisklasse B",1,1,"SC Reinheim - Groﬂ-Bieberau II"," : ","SC Groﬂ-Zimmern II"
"27 Okt 2019 09:00","Kreisklasse B",1,2,spielfrei," : ","SC Groﬂ-Zimmern II"
"27 Okt 2019 09:00","Kreisklasse B",1,2,"SC ""Turm"" Breuberg II"," : ","Schachforum Darmstadt 1994 V"
"10 Nov 2019 09:00","Kreisklasse B",1,3,"SC Springer Bad Kˆnig II"," : ","SC ""Turm"" Breuberg II"
"10 Nov 2019 09:00","Kreisklasse B",1,3,"SC Groﬂ-Zimmern II"," : ","SG Wartturm Schaafheim II"
"01 Dez 2019 09:00","Kreisklasse B",1,4,"SC Schachmatt Weiterstadt III"," : ","SC Groﬂ-Zimmern II"
"01 Dez 2019 09:00","Kreisklasse B",1,4,"SC ""Turm"" Breuberg II"," : ","SK 1980 Gernsheim V"
"26 Jan 2020 09:00","Kreisklasse B",1,5,"SC Reinheim - Groﬂ-Bieberau II"," : ","SC ""Turm"" Breuberg II"
"26 Jan 2020 09:00","Kreisklasse B",1,5,"SC Groﬂ-Zimmern II"," : ","SK Langen IV"
"16 Feb 2020 09:00","Kreisklasse B",1,6,"SC ""Turm"" Breuberg II"," : ","SC Groﬂ-Zimmern II"
"08 M‰r 2020 09:00","Kreisklasse B",1,7,"SC Groﬂ-Zimmern II"," : ","Schachforum Darmstadt 1994 V"
"08 M‰r 2020 09:00","Kreisklasse B",1,7,"SG Wartturm Schaafheim II"," : ","SC ""Turm"" Breuberg II"
"17 Mai 2020 09:00","Kreisklasse B",1,8,"SC ""Turm"" Breuberg II"," : ","SC Schachmatt Weiterstadt III"
"17 Mai 2020 09:00","Kreisklasse B",1,8,"SC Springer Bad Kˆnig II"," : ","SC Groﬂ-Zimmern II"
"17 Mai 2020 09:00","Kreisklasse B",1,9,"SC Groﬂ-Zimmern II"," : ","SK 1980 Gernsheim V"
"17 Mai 2020 09:00","Kreisklasse B",1,9,"SK Langen IV"," : ","SC ""Turm"" Breuberg II"
