Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"12 Apr 2022 09:00","Kreisklasse B",1,4,"SC Groß-Umstadt  02"," : ","SC Springer Bad König  02"
"07 Jun 2022 09:00","Kreisklasse B",1,9,"SC Ladja Roßdorf  02"," : ","SC Springer Bad König  02"
"26 Sep 2022 09:00",Bezirksklasse,1,1,"SC Springer Bad König  01"," : ","SG Wartturm Schaafheim  01"
"26 Sep 2022 09:00","Kreisklasse B",1,1,"SC Springer Bad König  02"," : ","SV Griesheim 1976  02"
"09 Okt 2022 09:00",Bezirksklasse,1,2,"SK Langen  03"," : ","SC Springer Bad König  01"
"09 Okt 2022 09:00","Kreisklasse B",1,2,"Schachforum Darmstadt 1994  04"," : ","SC Springer Bad König  02"
"06 Nov 2022 09:00",Bezirksklasse,1,3,"SC Springer Bad König  01"," : ","SC Schachmatt Weiterstadt  01"
"06 Nov 2022 09:00","Kreisklasse B",1,3,"SC Springer Bad König  02"," : ","SG Wartturm Schaafheim  02"
"04 Dez 2022 09:00",Bezirksklasse,1,4,"SC Ober-Ramstadt  01"," : ","SC Springer Bad König  01"
"15 Jan 2023 09:00","Kreisklasse B",1,5,"SC Springer Bad König  02"," : ","SC FK Babenhausen 1994  03"
"29 Jan 2023 09:00",Bezirksklasse,1,5,"SC Springer Bad König  01"," : ","SAbt TEC Darmstadt  01"
"29 Jan 2023 09:00","Kreisklasse B",1,6,"SC ""Turm"" Breuberg  03"," : ","SC Springer Bad König  02"
"12 Feb 2023 09:00",Bezirksklasse,1,6,"SC Springer Bad König  01"," : ","SC FK Babenhausen 1994  02"
"12 Feb 2023 09:00","Kreisklasse B",1,7,"SC Springer Bad König  02"," : ",spielfrei
"19 Mär 2023 09:00",Bezirksklasse,1,7,"Schachforum Darmstadt 1994"," : ","SC Springer Bad König  01"
"19 Mär 2023 09:00","Kreisklasse B",1,8,"SC Springer Bad König  02"," : ","SK 1980 Gernsheim  05"
