Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"22 Sep 2019 09:00",Bezirksklasse,1,1,"SC Schachmatt Weiterstadt I"," : ","SG Wartturm Schaafheim I"
"22 Sep 2019 09:00","Kreisklasse B",1,1,"SK 1980 Gernsheim V"," : ","SG Wartturm Schaafheim II"
"27 Okt 2019 09:00",Bezirksklasse,1,2,"SG Wartturm Schaafheim I"," : ","SC FK Babenhausen 1994 II"
"27 Okt 2019 09:00","Kreisklasse B",1,2,"SG Wartturm Schaafheim II"," : ","SC Reinheim - Groß-Bieberau II"
"10 Nov 2019 09:00",Bezirksklasse,1,3,"Schachforum Darmstadt 1994 III"," : ","SG Wartturm Schaafheim I"
"10 Nov 2019 09:00","Kreisklasse B",1,3,"SC Groß-Zimmern II"," : ","SG Wartturm Schaafheim II"
"01 Dez 2019 09:00",Bezirksklasse,1,4,"SG Wartturm Schaafheim I"," : ","SC Ober-Ramstadt I"
"01 Dez 2019 09:00","Kreisklasse B",1,4,spielfrei," : ","SG Wartturm Schaafheim II"
"26 Jan 2020 09:00",Bezirksklasse,1,5,"SK 1980 Gernsheim IV"," : ","SG Wartturm Schaafheim I"
"26 Jan 2020 09:00","Kreisklasse B",1,5,"SG Wartturm Schaafheim II"," : ","SC Schachmatt Weiterstadt III"
"16 Feb 2020 09:00",Bezirksklasse,1,6,"SG Wartturm Schaafheim I"," : ","Schachforum Darmstadt 1994 II"
"16 Feb 2020 09:00","Kreisklasse B",1,6,"SK Langen IV"," : ","SG Wartturm Schaafheim II"
"08 Mär 2020 09:00",Bezirksklasse,1,7,"SK Langen III"," : ","SG Wartturm Schaafheim I"
"08 Mär 2020 09:00","Kreisklasse B",1,7,"SG Wartturm Schaafheim II"," : ","SC ""Turm"" Breuberg II"
"17 Mai 2020 09:00",Bezirksklasse,1,8,spielfrei," : ","SG Wartturm Schaafheim I"
"17 Mai 2020 09:00",Bezirksklasse,1,9,"SG Wartturm Schaafheim I"," : ","SK Eberstadt 1924 I"
"17 Mai 2020 09:00","Kreisklasse B",1,8,"Schachforum Darmstadt 1994 V"," : ","SG Wartturm Schaafheim II"
"17 Mai 2020 09:00","Kreisklasse B",1,9,"SG Wartturm Schaafheim II"," : ","SC Springer Bad König II"
