Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"27 Sep 2015 09:00","Kreisklasse A",1,1,"SK 1980 Gernsheim 05","4.0 : 4.0","SK 1980 Gernsheim 04"
"08 Nov 2015 09:00","Kreisklasse A",1,2,"SK 1980 Gernsheim 04","3.0 : 5.0","SC Groß-Zimmern 02"
"08 Nov 2015 09:00","Kreisklasse A",1,2,"SK 1927 Dieburg 01","3.5 : 4.5","SK 1980 Gernsheim 05"
"22 Nov 2015 09:00","Kreisklasse A",1,3,"SK 1980 Gernsheim 05","5.0 : 3.0","SC FK Babenhausen 02"
"22 Nov 2015 09:00","Kreisklasse A",1,3,"Schachforum Darmstadt 04","3.5 : 4.5","SK 1980 Gernsheim 04"
"06 Dez 2015 09:00","Kreisklasse A",1,4,"SK 1980 Gernsheim 04","5.5 : 2.5","SG Wartturm Schaafheim 01"
"06 Dez 2015 09:00","Kreisklasse A",1,4,"SC Goddelau 01","3.5 : 4.5","SK 1980 Gernsheim 05"
"17 Jan 2016 09:00","Kreisklasse A",1,5,"SK 1980 Gernsheim 05","4.0 : 4.0","SC Ladja Roßdorf 02"
"17 Jan 2016 09:00","Kreisklasse A",1,5,"SC Springer Bad König 02","2.5 : 5.5","SK 1980 Gernsheim 04"
"31 Jan 2016 09:00","Kreisklasse A",1,6,"SC Ladja Roßdorf 02","3.0 : 5.0","SK 1980 Gernsheim 04"
"31 Jan 2016 09:00","Kreisklasse A",1,6,"SK 1980 Gernsheim 05","5.5 : 2.5","SC Groß-Zimmern 02"
"14 Feb 2016 09:00","Kreisklasse A",1,7,"Schachforum Darmstadt 04","2.0 : 6.0","SK 1980 Gernsheim 05"
"14 Feb 2016 09:00","Kreisklasse A",1,7,"SK 1980 Gernsheim 04","5.0 : 3.0","SK 1927 Dieburg 01"
"06 Mär 2016 09:00","Kreisklasse A",1,8,"SC FK Babenhausen 02","5.5 : 2.5","SK 1980 Gernsheim 04"
"06 Mär 2016 09:00","Kreisklasse A",1,8,"SK 1980 Gernsheim 05","3.5 : 4.5","SG Wartturm Schaafheim 01"
"17 Apr 2016 09:00","Kreisklasse A",1,9,"SC Springer Bad König 02","1.5 : 6.5","SK 1980 Gernsheim 05"
"17 Apr 2016 09:00","Kreisklasse A",1,9,"SK 1980 Gernsheim 04","5.5 : 2.5","SC Goddelau 01"
