Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"05 Dez 2021 09:00",Bezirksklasse,1,1,"Schachforum Darmstadt 1994 3"," : ","SC FK Babenhausen 1994 2"
"05 Dez 2021 09:00","Kreisklasse B",1,1,"SC Ladja Roßdorf 2"," : ","Schachforum Darmstadt 1994 5"
"09 Jan 2022 09:00",Bezirksklasse,1,2,"SK Langen 2"," : ","Schachforum Darmstadt 1994 3"
"09 Jan 2022 09:00","Kreisklasse B",1,2,"Schachforum Darmstadt 1994 5"," : ","SV Griesheim 1976 3"
"10 Jan 2022","4er Pokal",1,1,"Schachforum DA 1"," : ","Schaafheim 1"
"23 Jan 2022 09:00",Bezirksklasse,1,3,"Schachforum Darmstadt 1994 3"," : ",spielfrei
"23 Jan 2022 09:00","Kreisklasse B",1,3,"SG Wartturm Schaafheim 2"," : ","Schachforum Darmstadt 1994 5"
"13 Feb 2022 09:00",Bezirksklasse,1,4,"Schachforum Darmstadt 1994 3"," : ","SSG Rödermark/Eppertshausen 2"
"13 Feb 2022 09:00","Kreisklasse B",1,4,"SC Groß-Umstadt 2"," : ","Schachforum Darmstadt 1994 5"
"27 Feb 2022 09:00",Bezirksklasse,1,5,"SC Springer Bad König 1"," : ","Schachforum Darmstadt 1994 3"
"27 Feb 2022 09:00","Kreisklasse B",1,5,"Schachforum Darmstadt 1994 5"," : ","SC FK Babenhausen 1994 3"
"13 Mär 2022 09:00",Bezirksklasse,1,6,"Schachforum Darmstadt 1994 3"," : ","SG Wartturm Schaafheim 1"
"13 Mär 2022 09:00","Kreisklasse B",1,6,spielfrei," : ","Schachforum Darmstadt 1994 5"
"08 Mai 2022 09:00",Bezirksklasse,1,7,"SC Münster 1"," : ","Schachforum Darmstadt 1994 3"
"08 Mai 2022 09:00","Kreisklasse B",1,7,"Schachforum Darmstadt 1994 5"," : ","SK 1980 Gernsheim 5"
"22 Mai 2022 10:00",Bezirksklasse,1,8,"Schachforum Darmstadt 1994 3"," : ","SAbt TEC Darmstadt 1"
"12 Jun 2022 09:00",Bezirksklasse,1,9,"SC Schachmatt Weiterstadt 1"," : ","Schachforum Darmstadt 1994 3"
